layer,group_id,channels,grad,abs_grad,positive_grad,head_id
1,7,ch112:128,0.842360487754923,0.842360487754923,0.842360487754923,L1_ch112:128
1,1,ch16:32,0.7222795635927468,0.7222795635927468,0.7222795635927468,L1_ch16:32
0,5,ch40:48,0.7015100818593057,0.7015100818593057,0.7015100818593057,L0_ch40:48
2,7,ch224:256,0.7008995685493572,0.7008995685493572,0.7008995685493572,L2_ch224:256
0,6,ch48:56,0.3678499299974644,0.3678499299974644,0.3678499299974644,L0_ch48:56
0,1,ch8:16,0.3510980424529408,0.3510980424529408,0.3510980424529408,L0_ch8:16
2,4,ch128:160,0.33572994011483376,0.33572994011483376,0.33572994011483376,L2_ch128:160
2,2,ch64:96,0.30327312572626386,0.30327312572626386,0.30327312572626386,L2_ch64:96
2,0,ch0:32,0.26459686089656287,0.26459686089656287,0.26459686089656287,L2_ch0:32
0,0,ch0:8,-0.23233211163897055,0.23233211163897055,0.0,L0_ch0:8
0,3,ch24:32,0.20744608193635947,0.20744608193635947,0.20744608193635947,L0_ch24:32
1,2,ch32:48,0.2018274284899235,0.2018274284899235,0.2018274284899235,L1_ch32:48
1,4,ch64:80,-0.1816164058574942,0.1816164058574942,0.0,L1_ch64:80
1,5,ch80:96,-0.17995988826151005,0.17995988826151005,0.0,L1_ch80:96
1,3,ch48:64,0.12967404892551718,0.12967404892551718,0.12967404892551718,L1_ch48:64
0,4,ch32:40,0.11959622660651806,0.11959622660651806,0.11959622660651806,L0_ch32:40
2,1,ch32:64,-0.11884338601666963,0.11884338601666963,0.0,L2_ch32:64
0,2,ch16:24,0.09451773613691325,0.09451773613691325,0.09451773613691325,L0_ch16:24
2,3,ch96:128,-0.06515656897536254,0.06515656897536254,0.0,L2_ch96:128
2,5,ch160:192,-0.04161268815732912,0.04161268815732912,0.0,L2_ch160:192
2,6,ch192:224,0.03686943532957232,0.03686943532957232,0.03686943532957232,L2_ch192:224
1,0,ch0:16,-0.014403495768783602,0.014403495768783602,0.0,L1_ch0:16
1,6,ch96:112,0.007337797875516184,0.007337797875516184,0.007337797875516184,L1_ch96:112
0,7,ch56:64,-0.0063727427099365686,0.0063727427099365686,0.0,L0_ch56:64
