pred_label,n_pred,super_score_mean,super_score_p90,acc_within_pred
label_QCD,62,3.5931994915008545,4.231503486633301,0.7096773982048035
label_Hbb,61,3.3440849781036377,3.728419303894043,0.7213114500045776
label_Hcc,54,3.3941943645477295,3.8027963638305664,0.6851851940155029
label_Hgg,74,3.270838499069214,3.591261625289917,0.5945945978164673
label_H4q,69,3.370628833770752,3.6809964179992676,0.739130437374115
label_Hqql,60,4.015307426452637,4.861736297607422,1.0
label_Zqq,69,3.5166759490966797,3.9654417037963867,0.7101449370384216
label_Wqq,62,3.5218100547790527,3.926349639892578,0.7419354915618896
label_Tbqq,63,3.2976975440979004,3.603635549545288,0.8730159401893616
label_Tbl,66,3.90636944770813,4.587775230407715,0.9696969985961914
