event_idx,true,true_label,pred,pred_label,conf,pred_logit,super_max_particle_score,real_particles,effective_particles,top_particle_indices
978,5,label_Hqql,5,label_Hqql,0.9999245405197144,3.9379212856292725,4.762551307678223,20,44,"[0, 1, 18, 13, 15, 16, 14, 12, 2, 4, 17, 8]"
888,5,label_Hqql,5,label_Hqql,0.9937615990638733,3.8274996280670166,4.6689863204956055,18,47,"[0, 13, 15, 16, 6, 17, 8, 11, 7, 14, 12, 3]"
885,5,label_Hqql,5,label_Hqql,0.9972719550132751,3.32830810546875,4.626442909240723,39,47,"[0, 35, 1, 3, 38, 6, 16, 34, 29, 10, 2, 31]"
1281,9,label_Tbl,9,label_Tbl,0.9999911785125732,3.418581008911133,4.583898067474365,27,76,"[0, 25, 1, 7, 8, 9, 24, 26, 22, 18, 23, 15]"
1455,9,label_Tbl,9,label_Tbl,0.9999303817749023,3.155729293823242,4.552828788757324,34,55,"[0, 32, 2, 31, 33, 19, 30, 23, 29, 1, 28, 6]"
863,5,label_Hqql,5,label_Hqql,0.9997943043708801,3.0829789638519287,4.543761730194092,20,54,"[0, 2, 1, 19, 17, 7, 6, 18, 8, 15, 13, 16]"
953,5,label_Hqql,5,label_Hqql,0.9530162215232849,4.053192615509033,4.535849571228027,14,50,"[0, 3, 4, 13, 10, 11, 1, 12, 9, 6, 8, 5]"
909,5,label_Hqql,5,label_Hqql,0.9999573230743408,2.870990514755249,4.518932342529297,16,69,"[0, 1, 13, 4, 7, 14, 8, 15, 11, 5, 3, 2]"
797,5,label_Hqql,5,label_Hqql,0.9999512434005737,3.86637282371521,4.506239414215088,21,63,"[0, 1, 13, 7, 8, 2, 20, 18, 19, 16, 3, 17]"
937,5,label_Hqql,5,label_Hqql,0.9911550283432007,4.758256435394287,4.503199100494385,13,50,"[0, 2, 4, 5, 7, 8, 12, 3, 11, 9, 10, 1]"
921,5,label_Hqql,5,label_Hqql,0.9999858140945435,3.054708242416382,4.500467300415039,26,69,"[0, 11, 2, 13, 22, 1, 10, 25, 6, 18, 12, 16]"
954,5,label_Hqql,5,label_Hqql,0.9999850988388062,4.098942279815674,4.489121437072754,11,50,"[0, 1, 2, 4, 9, 3, 10, 7, 8, 5, 6]"
905,5,label_Hqql,5,label_Hqql,0.9979046583175659,1.986326813697815,4.487154960632324,32,69,"[0, 16, 28, 2, 20, 1, 22, 4, 10, 21, 18, 6]"
793,5,label_Hqql,5,label_Hqql,0.9995713829994202,1.9407562017440796,4.481191635131836,33,63,"[0, 2, 9, 26, 31, 14, 29, 1, 8, 3, 22, 32]"
892,5,label_Hqql,5,label_Hqql,0.99868243932724,3.821845769882202,4.4810943603515625,25,47,"[0, 24, 1, 20, 15, 19, 18, 22, 23, 2, 7, 17]"
795,5,label_Hqql,5,label_Hqql,0.9999996423721313,4.9070916175842285,4.4722700119018555,13,63,"[0, 1, 10, 9, 7, 5, 6, 3, 12, 2, 11, 4]"
966,5,label_Hqql,5,label_Hqql,0.9995831847190857,3.2190980911254883,4.467945098876953,24,44,"[0, 22, 18, 4, 9, 21, 7, 10, 5, 8, 17, 23]"
784,5,label_Hqql,5,label_Hqql,0.9504872560501099,3.744919538497925,4.466300964355469,23,63,"[0, 21, 20, 18, 22, 10, 19, 15, 16, 14, 3, 13]"
1291,9,label_Tbl,9,label_Tbl,0.9998583793640137,4.654110908508301,4.44416618347168,30,76,"[0, 24, 9, 14, 13, 26, 15, 17, 1, 25, 19, 5]"
1475,9,label_Tbl,9,label_Tbl,0.9986506104469299,5.848647117614746,4.437465667724609,22,73,"[0, 21, 4, 2, 1, 15, 3, 19, 20, 18, 17, 16]"
1009,5,label_Hqql,5,label_Hqql,0.970779299736023,3.257798910140991,4.428463935852051,32,55,"[0, 31, 26, 25, 1, 27, 29, 21, 6, 2, 19, 14]"
774,5,label_Hqql,5,label_Hqql,0.9999284744262695,2.446388006210327,4.4253435134887695,26,63,"[0, 15, 13, 25, 5, 19, 2, 1, 17, 18, 24, 3]"
1324,9,label_Tbl,9,label_Tbl,0.9999998807907104,5.808475494384766,4.406231880187988,15,66,"[0, 11, 13, 2, 12, 1, 7, 14, 10, 3, 9, 8]"
