event_idx,group,head_id,rank,particle_idx,particle_activation_norm,pid,pt,charge,is_second_lepton_like,particle_role,best_lepton_idx,second_lepton_idx,nearest_hadron_to_best_lepton_idx,hardest_hadron_idx
12308,A_protected_highiso,L2_ch128:160,1,0,6.165214538574219,electron,210.91549682617188,-1.0,,particle0_best_lepton,0,,27,3
12308,A_protected_highiso,L2_ch128:160,2,12,1.3231433629989624,charged_hadron,8.510248184204102,-1.0,,hard_hadron,0,,27,3
12308,A_protected_highiso,L2_ch128:160,3,16,1.005852460861206,photon,6.311211585998535,0.0,,photon_neighbor,0,,27,3
12358,A_protected_highiso,L2_ch128:160,1,0,5.902093410491943,electron,229.01434326171875,-1.0,,particle0_best_lepton,0,,35,2
12358,A_protected_highiso,L2_ch128:160,2,4,1.5181145668029785,charged_hadron,32.47212219238281,1.0,,hard_hadron,0,,35,2
12358,A_protected_highiso,L2_ch128:160,3,1,1.0337620973587036,photon,70.61795806884766,0.0,,photon_neighbor,0,,35,2
12438,A_protected_highiso,L2_ch128:160,1,0,6.163497447967529,muon,169.7151641845703,1.0,,particle0_best_lepton,0,,31,1
12438,A_protected_highiso,L2_ch128:160,2,1,3.607360363006592,neutral_hadron,96.88123321533203,0.0,,hardest_hadron,0,,31,1
12438,A_protected_highiso,L2_ch128:160,3,6,1.440585732460022,charged_hadron,11.78877067565918,1.0,,hard_hadron,0,,31,1
12442,A_protected_highiso,L2_ch128:160,1,0,5.3995795249938965,muon,116.57672119140625,-1.0,,particle0_best_lepton,0,49,44,1
12442,A_protected_highiso,L2_ch128:160,2,1,1.1232554912567139,charged_hadron,115.92982482910156,-1.0,,hardest_hadron,0,49,44,1
12442,A_protected_highiso,L2_ch128:160,3,15,1.0685657262802124,charged_hadron,11.958351135253906,-1.0,,hadron_neighbor,0,49,44,1
12509,A_protected_highiso,L2_ch128:160,1,0,5.242000102996826,electron,191.98472595214844,-1.0,,particle0_best_lepton,0,25,11,2
12509,A_protected_highiso,L2_ch128:160,2,2,1.28311288356781,charged_hadron,57.196895599365234,1.0,,hardest_hadron,0,25,11,2
12509,A_protected_highiso,L2_ch128:160,3,14,0.6667892336845398,charged_hadron,6.042871952056885,-1.0,,hadron_neighbor,0,25,11,2
12592,A_protected_highiso,L2_ch128:160,1,0,6.431893348693848,electron,318.6606750488281,-1.0,,particle0_best_lepton,0,,25,2
12592,A_protected_highiso,L2_ch128:160,2,2,0.9370681643486023,charged_hadron,40.69743728637695,-1.0,,hardest_hadron,0,,25,2
12592,A_protected_highiso,L2_ch128:160,3,3,0.8361434936523438,charged_hadron,33.87440872192383,1.0,,hard_hadron,0,,25,2
12784,A_protected_highiso,L2_ch128:160,1,0,5.990438461303711,muon,490.37921142578125,1.0,,particle0_best_lepton,0,,13,1
12784,A_protected_highiso,L2_ch128:160,2,2,1.6654984951019287,charged_hadron,31.80470085144043,-1.0,,hard_hadron,0,,13,1
