event_idx,group,particle_role,pid,particle_idx,head_id,layer,class_label,particle_to_head_weight,head_to_class_weight,flow_weight
12308,A_protected_highiso,particle0_best_lepton,electron,0,L2_ch128:160,L2,label_Hqql,6.165214538574219,0.9433895349502563,5.8161988764140915
12308,A_protected_highiso,particle0_best_lepton,electron,0,L2_ch128:160,L2,label_Tbl,6.165214538574219,1.4139752388000488,8.717460699434014
12308,A_protected_highiso,hard_hadron,charged_hadron,12,L2_ch128:160,L2,label_Hqql,1.3231433629989624,0.9433895349502563,1.2482396018921094
12308,A_protected_highiso,hard_hadron,charged_hadron,12,L2_ch128:160,L2,label_Tbl,1.3231433629989624,1.4139752388000488,1.8708919526631576
12308,A_protected_highiso,photon_neighbor,photon,16,L2_ch128:160,L2,label_Hqql,1.005852460861206,0.9433895349502563,0.9489106852804241
12308,A_protected_highiso,photon_neighbor,photon,16,L2_ch128:160,L2,label_Tbl,1.005852460861206,1.4139752388000488,1.4222504735438406
12358,A_protected_highiso,particle0_best_lepton,electron,0,L2_ch128:160,L2,label_Hqql,5.902093410491943,1.7847970724105835,10.534039040139817
12358,A_protected_highiso,particle0_best_lepton,electron,0,L2_ch128:160,L2,label_Tbl,5.902093410491943,1.390334129333496,8.20588190312128
12358,A_protected_highiso,hard_hadron,charged_hadron,4,L2_ch128:160,L2,label_Hqql,1.5181145668029785,1.7847970724105835,2.7095264344138172
12358,A_protected_highiso,hard_hadron,charged_hadron,4,L2_ch128:160,L2,label_Tbl,1.5181145668029785,1.390334129333496,2.1106864944645167
12358,A_protected_highiso,photon_neighbor,photon,1,L2_ch128:160,L2,label_Hqql,1.0337620973587036,1.7847970724105835,1.8450555649348388
12358,A_protected_highiso,photon_neighbor,photon,1,L2_ch128:160,L2,label_Tbl,1.0337620973587036,1.390334129333496,1.437274725569182
12438,A_protected_highiso,particle0_best_lepton,muon,0,L2_ch128:160,L2,label_Hqql,6.163497447967529,1.9136123657226562,11.794544932530698
12438,A_protected_highiso,particle0_best_lepton,muon,0,L2_ch128:160,L2,label_Tbl,6.163497447967529,1.9107961654663086,11.777187289437734
12438,A_protected_highiso,hardest_hadron,neutral_hadron,1,L2_ch128:160,L2,label_Hqql,3.607360363006592,1.9136123657226562,6.903089398267184
12438,A_protected_highiso,hardest_hadron,neutral_hadron,1,L2_ch128:160,L2,label_Tbl,3.607360363006592,1.9107961654663086,6.892930349088147
12438,A_protected_highiso,hard_hadron,charged_hadron,6,L2_ch128:160,L2,label_Hqql,1.440585732460022,1.9136123657226562,2.756722671519128
12438,A_protected_highiso,hard_hadron,charged_hadron,6,L2_ch128:160,L2,label_Tbl,1.440585732460022,1.9107961654663086,2.7526656936100835
