particle_role,head_id,class_label,A_n,A_flow,B_n,B_flow,C_n,C_flow,B_minus_A,B_minus_C,trigger_score,loss_score,anomaly_score,diagnosis
nearest_hadron_to_best_lepton,L1_ch80:96,label_Tbl,1,74.01603662317939,0,0.0,11,109.97311908706565,-74.01603662317939,-109.97311908706565,0.6669726617768487,0.0,8139.77440991352,anomalous_third_topology_candidate
other_lepton,L1_ch80:96,label_Tbl,1,80.8756658245884,0,0.0,4,97.7790846884177,-80.8756658245884,-97.7790846884177,0.8187529382327982,0.0,7907.948577894597,anomalous_third_topology_candidate
photon_neighbor,L1_ch80:96,label_Hqql,43,68.10212487387147,11,119.26775955823194,158,-19.542212138987136,51.16563468436047,138.80997169721908,0.0,0.0,7102.300302406328,anomalous_third_topology_candidate
second_lepton,L1_ch80:96,label_Tbl,1,73.18731338398266,0,0.0,4,75.36244691393563,-73.18731338398266,-75.36244691393563,0.9584202227892001,0.0,5515.575019673964,anomalous_third_topology_candidate
photon_neighbor,L1_ch80:96,label_Tbl,43,68.03361939126006,11,136.9842135559854,158,85.85359821547588,68.95059416472535,51.13061534050952,1.322650686441167,0.0,3525.486307736152,target_like_trigger_candidate
particle0,L1_ch32:48,label_Hqql,0,0.0,1,38.498135350162556,8,-4.884928862534991,38.498135350162556,43.38306421269755,0.0,0.0,1670.1670779652236,anomalous_third_topology_candidate
other_lepton,L1_ch80:96,label_Hqql,1,93.72842926278281,0,0.0,4,-17.591211735230445,-93.72842926278281,17.591211735230445,0.0,93.72842926278281,1648.7966447721817,source_evidence_loss_candidate
nearest_hadron_to_best_lepton,L1_ch80:96,label_Hqql,1,85.29324600471227,0,0.0,11,-16.032588629122447,-85.29324600471227,16.032588629122447,0.0,85.29324600471227,1367.4715260360936,source_evidence_loss_candidate
particle0_best_lepton,L1_ch80:96,label_Hqql,1,31.139396651072502,1,52.23167957587793,21,-12.021956841961215,21.09228292480543,64.25363641783915,0.0,0.0,1355.255878272645,anomalous_third_topology_candidate
hadron_neighbor,L1_ch80:96,label_Tbl,44,82.47967278969803,14,131.89605637684693,158,105.278624285636,49.4163835871489,26.61743209121093,1.7893185515562595,0.0,1315.3372343241663,target_like_trigger_candidate
hadron_neighbor,L1_ch80:96,label_Hqql,44,82.54032134799223,14,72.08012710699931,158,-37.73458933273504,-10.46019424099292,109.81471643973435,0.0,10.46019424099292,1148.6832644791798,source_evidence_loss_candidate
particle0_best_lepton,L1_ch80:96,label_Tbl,1,19.04647764829747,1,123.20022710035482,21,112.52319375257949,104.15374945205735,10.677033347775335,8.91953858056767,0.0,1112.0530561954533,target_like_trigger_candidate
hardest_hadron,L1_ch32:48,label_Tbl,3,21.32495872367743,0,0.0,7,47.01375169352351,-21.32495872367743,-47.01375169352351,0.44414272935380544,0.0,1002.5663143096087,anomalous_third_topology_candidate
second_lepton,L1_ch80:96,label_Hqql,1,84.81824360274004,0,0.0,4,7.655006286758464,-84.81824360274004,-7.655006286758464,0.0,84.81824360274004,649.2841880107859,source_evidence_loss_candidate
hard_hadron,L1_ch80:96,label_Hqql,5,53.779543788583666,7,42.34308002591196,24,-6.1673506078550036,-11.436463762671707,48.510430633766966,0.0,11.436463762671707,554.7877820546754,source_evidence_loss_candidate
photon_neighbor,L1_ch32:48,label_Hqql,17,6.1988275289201695,6,16.1888763389173,51,-31.87073588945381,9.99004880999713,48.05961222837111,0.0,0.0,480.11787195096235,anomalous_third_topology_candidate
particle0,L2_ch224:256,label_Tbl,1,12.49308847822249,1,31.870878759591506,20,11.632968495358588,19.377790281369016,20.237910264232916,0.9124151124229696,0.0,392.1659808334708,anomalous_third_topology_candidate
particle0,L1_ch32:48,label_Tbl,0,0.0,1,58.997495533352776,8,52.49641322901681,58.997495533352776,6.5010823043359665,7.8651977327657825,0.0,383.54757421202,target_like_trigger_candidate
hard_hadron,L1_ch80:96,label_Tbl,5,60.18871414948171,7,84.78252297797833,24,69.43119817708134,24.59380882849662,15.35132480089699,1.5040866185440502,0.0,377.5475474174195,target_like_trigger_candidate
particle0,L2_ch224:256,label_Hqql,1,11.83553345312248,1,33.96180009834643,20,19.893790010445542,22.12626664522395,14.068010087900888,0.0,0.0,311.27254237259547,anomalous_third_topology_candidate
nearest_hadron_to_best_lepton,L1_ch32:48,label_Hqql,12,12.40280940824376,3,4.290311473287488,49,-28.616025130620866,-8.112497934956272,32.90633660390836,0.0,8.112497934956272,266.95258774618253,source_evidence_loss_candidate
hadron_neighbor,L1_ch32:48,label_Hqql,50,13.907668618764866,15,3.7339052426167503,166,-19.912666293584238,-10.173763376148116,23.646571536200987,0.0,10.173763376148116,240.5746234664681,source_evidence_loss_candidate
particle0_best_lepton,L1_ch32:48,label_Tbl,9,19.297104656222196,3,33.597810696106386,53,43.08003027539428,14.30070603988419,-9.482219579287893,1.3642822430605586,0.0,135.60243480903048,target_like_trigger_candidate
particle0,L2_ch32:64,label_Tbl,0,0.0,1,12.137627809426021,8,1.105750868468716,12.137627809426021,11.031876940957305,1.0087892245729952,0.0,133.90081634872905,target_like_trigger_candidate
hard_hadron,L1_ch32:48,label_Tbl,5,23.02810880821794,5,28.748611018289104,45,47.29119916679459,5.720502210071164,-18.542588148505487,0.29271978545526667,0.0,106.072916483965,anomalous_third_topology_candidate
nearest_hadron_to_best_lepton,L1_ch32:48,label_Tbl,12,19.598931749714392,3,35.79304527421967,49,40.60224760916721,16.19411352450528,-4.8092023349475355,2.787665602054044,0.0,77.88076857445625,target_like_trigger_candidate
particle0_best_lepton,L2_ch224:256,label_Hqql,31,15.84605138754235,10,18.889710552766722,107,37.91921192418577,3.0436591652243727,-19.029501371419045,0.0,0.0,57.91931625876934,anomalous_third_topology_candidate
best_lepton,L2_ch32:64,label_Tbl,1,-0.6210522796159239,1,8.486799726705385,21,4.739119712261105,9.107852006321309,3.7476800144442803,1.9183794987471139,0.0,34.13331493860661,target_like_trigger_candidate
particle0_best_lepton,L2_ch160:192,label_Hqql,31,3.323591026336222,10,-2.180467781897984,107,-8.042283350795545,-5.5040588082342055,5.861815568897561,0.0,5.5040588082342055,32.26377761423502,source_evidence_loss_candidate
hadron_neighbor,L1_ch32:48,label_Tbl,50,26.749490467581463,15,39.36600275646341,166,41.80670619946878,12.616512288881946,-2.4407034430053685,3.6668409521111585,0.0,30.79316498219371,target_like_trigger_candidate
particle0,L2_ch0:32,label_Tbl,1,-1.3799722211176686,1,-5.827885117102824,11,1.041829367167377,-4.447912895985155,-6.869714484270201,0.565193680771461,0.0,30.555891646321435,anomalous_third_topology_candidate
particle0,L2_ch160:192,label_Hqql,0,0.0,1,-1.5500730892359371,1,-19.451679844124556,-1.5500730892359371,17.90160675488862,0.0,1.5500730892359371,27.74879888483712,source_evidence_loss_candidate
hardest_hadron,L1_ch32:48,label_Hqql,3,8.935692500873643,0,0.0,7,2.805964694554372,-8.935692500873643,-2.805964694554372,0.0,8.935692500873643,25.073237678845704,source_evidence_loss_candidate
best_lepton,L2_ch128:160,label_Hqql,1,11.713934538010221,1,9.578150246056794,21,-1.043609850227973,-2.135784291953428,10.621760096284767,0.0,2.135784291953428,22.685788366542734,source_evidence_loss_candidate
photon_neighbor,L1_ch32:48,label_Tbl,17,20.51638686415245,6,40.53110969831414,51,40.245036429164195,20.014722834161688,0.286073269149945,15.562661408389902,0.0,5.725677192298687,target_like_trigger_candidate
