file,label,true_n,pred_n
reports/latest/part_weaver_predict_smoke_v3_HToBB.root,label_QCD,0,36929
reports/latest/part_weaver_predict_smoke_v3_HToBB.root,label_Hbb,100000,39
reports/latest/part_weaver_predict_smoke_v3_HToBB.root,label_Hcc,0,5413
reports/latest/part_weaver_predict_smoke_v3_HToBB.root,label_Hgg,0,10
reports/latest/part_weaver_predict_smoke_v3_HToBB.root,label_H4q,0,13
reports/latest/part_weaver_predict_smoke_v3_HToBB.root,label_Hqql,0,4400
reports/latest/part_weaver_predict_smoke_v3_HToBB.root,label_Zqq,0,49394
reports/latest/part_weaver_predict_smoke_v3_HToBB.root,label_Wqq,0,14
reports/latest/part_weaver_predict_smoke_v3_HToBB.root,label_Tbqq,0,0
reports/latest/part_weaver_predict_smoke_v3_HToBB.root,label_Tbl,0,3788
reports/latest/part_weaver_predict_smoke_v3_HToCC.root,label_QCD,0,17033
reports/latest/part_weaver_predict_smoke_v3_HToCC.root,label_Hbb,0,170
reports/latest/part_weaver_predict_smoke_v3_HToCC.root,label_Hcc,100000,3708
reports/latest/part_weaver_predict_smoke_v3_HToCC.root,label_Hgg,0,1
reports/latest/part_weaver_predict_smoke_v3_HToCC.root,label_H4q,0,96
reports/latest/part_weaver_predict_smoke_v3_HToCC.root,label_Hqql,0,18860
reports/latest/part_weaver_predict_smoke_v3_HToCC.root,label_Zqq,0,45779
reports/latest/part_weaver_predict_smoke_v3_HToCC.root,label_Wqq,0,8
reports/latest/part_weaver_predict_smoke_v3_HToCC.root,label_Tbqq,0,0
reports/latest/part_weaver_predict_smoke_v3_HToCC.root,label_Tbl,0,14345
reports/latest/part_weaver_predict_smoke_v3_HToGG.root,label_QCD,0,28441
reports/latest/part_weaver_predict_smoke_v3_HToGG.root,label_Hbb,0,74
reports/latest/part_weaver_predict_smoke_v3_HToGG.root,label_Hcc,0,2251
reports/latest/part_weaver_predict_smoke_v3_HToGG.root,label_Hgg,100000,0
reports/latest/part_weaver_predict_smoke_v3_HToGG.root,label_H4q,0,14
reports/latest/part_weaver_predict_smoke_v3_HToGG.root,label_Hqql,0,6077
reports/latest/part_weaver_predict_smoke_v3_HToGG.root,label_Zqq,0,60725
reports/latest/part_weaver_predict_smoke_v3_HToGG.root,label_Wqq,0,3
reports/latest/part_weaver_predict_smoke_v3_HToGG.root,label_Tbqq,0,0
reports/latest/part_weaver_predict_smoke_v3_HToGG.root,label_Tbl,0,2415
reports/latest/part_weaver_predict_smoke_v3_HToWW2Q1L.root,label_QCD,0,37564
reports/latest/part_weaver_predict_smoke_v3_HToWW2Q1L.root,label_Hbb,0,3
reports/latest/part_weaver_predict_smoke_v3_HToWW2Q1L.root,label_Hcc,0,22311
reports/latest/part_weaver_predict_smoke_v3_HToWW2Q1L.root,label_Hgg,0,3
reports/latest/part_weaver_predict_smoke_v3_HToWW2Q1L.root,label_H4q,0,641
reports/latest/part_weaver_predict_smoke_v3_HToWW2Q1L.root,label_Hqql,100000,25694
reports/latest/part_weaver_predict_smoke_v3_HToWW2Q1L.root,label_Zqq,0,9195
reports/latest/part_weaver_predict_smoke_v3_HToWW2Q1L.root,label_Wqq,0,12
reports/latest/part_weaver_predict_smoke_v3_HToWW2Q1L.root,label_Tbqq,0,0
reports/latest/part_weaver_predict_smoke_v3_HToWW2Q1L.root,label_Tbl,0,4577
reports/latest/part_weaver_predict_smoke_v3_HToWW4Q.root,label_QCD,0,22298
reports/latest/part_weaver_predict_smoke_v3_HToWW4Q.root,label_Hbb,0,21
reports/latest/part_weaver_predict_smoke_v3_HToWW4Q.root,label_Hcc,0,3396
reports/latest/part_weaver_predict_smoke_v3_HToWW4Q.root,label_Hgg,0,1
reports/latest/part_weaver_predict_smoke_v3_HToWW4Q.root,label_H4q,100000,12
reports/latest/part_weaver_predict_smoke_v3_HToWW4Q.root,label_Hqql,0,13149
reports/latest/part_weaver_predict_smoke_v3_HToWW4Q.root,label_Zqq,0,59219
reports/latest/part_weaver_predict_smoke_v3_HToWW4Q.root,label_Wqq,0,2
reports/latest/part_weaver_predict_smoke_v3_HToWW4Q.root,label_Tbqq,0,0
reports/latest/part_weaver_predict_smoke_v3_HToWW4Q.root,label_Tbl,0,1902
reports/latest/part_weaver_predict_smoke_v3_TTBar.root,label_QCD,0,4421
reports/latest/part_weaver_predict_smoke_v3_TTBar.root,label_Hbb,0,64
reports/latest/part_weaver_predict_smoke_v3_TTBar.root,label_Hcc,0,103
reports/latest/part_weaver_predict_smoke_v3_TTBar.root,label_Hgg,0,0
reports/latest/part_weaver_predict_smoke_v3_TTBar.root,label_H4q,0,0
reports/latest/part_weaver_predict_smoke_v3_TTBar.root,label_Hqql,0,3027
reports/latest/part_weaver_predict_smoke_v3_TTBar.root,label_Zqq,0,88894
reports/latest/part_weaver_predict_smoke_v3_TTBar.root,label_Wqq,0,31
