event,donor,fraction,n_patch,baseline_pred,patched_pred,success_to_Hqql,flip,delta_margin,target_p0_pid,donor_p0_pid
3077,3713,0.0,0,label_Tbl,label_Tbl,0,0,0.0,electron,electron
3077,3713,0.2,2,label_Tbl,label_Tbl,0,0,4.59621262550354,electron,electron
3077,3713,0.4,3,label_Tbl,label_Hqql,1,1,5.142979383468628,electron,electron
3077,3713,0.6,5,label_Tbl,label_Hqql,1,1,4.812471151351929,electron,electron
3077,3713,0.8,6,label_Tbl,label_Hqql,1,1,4.724973201751709,electron,electron
3077,3713,1.0,8,label_Tbl,label_Hqql,1,1,7.353003740310669,electron,electron
3082,3285,0.0,0,label_Tbl,label_Tbl,0,0,0.0,electron,photon
3082,3285,0.2,2,label_Tbl,label_Tbl,0,0,1.868003249168396,electron,photon
3082,3285,0.4,3,label_Tbl,label_Hqql,1,1,2.361113667488098,electron,photon
3082,3285,0.6,5,label_Tbl,label_Hqql,1,1,2.2327500581741333,electron,photon
3082,3285,0.8,6,label_Tbl,label_Hqql,1,1,2.466161608695984,electron,photon
3082,3285,1.0,8,label_Tbl,label_Hqql,1,1,5.184610724449158,electron,photon
3148,4062,0.0,0,label_Tbl,label_Tbl,0,0,0.0,neutral_hadron,photon
3148,4062,0.2,2,label_Tbl,label_Hqql,1,1,2.5825798511505127,neutral_hadron,photon
3148,4062,0.4,3,label_Tbl,label_Hqql,1,1,2.45682430267334,neutral_hadron,photon
3148,4062,0.6,5,label_Tbl,label_Hqql,1,1,3.321735382080078,neutral_hadron,photon
3148,4062,0.8,6,label_Tbl,label_Hqql,1,1,3.8983758687973022,neutral_hadron,photon
3148,4062,1.0,8,label_Tbl,label_Hqql,1,1,3.84939181804657,neutral_hadron,photon
3218,3789,0.0,0,label_Tbl,label_Tbl,0,0,0.0,muon,electron
3218,3789,0.2,2,label_Tbl,label_Hqql,1,1,4.796156167984009,muon,electron
3218,3789,0.4,3,label_Tbl,label_Hqql,1,1,5.750696182250977,muon,electron
3218,3789,0.6,5,label_Tbl,label_Hqql,1,1,5.05062735080719,muon,electron
3218,3789,0.8,6,label_Tbl,label_Tbl,0,0,1.309152364730835,muon,electron
3218,3789,1.0,8,label_Tbl,label_Tbl,0,0,1.413459300994873,muon,electron
3335,4070,0.0,0,label_Tbl,label_Tbl,0,0,0.0,electron,muon
3335,4070,0.2,2,label_Tbl,label_Hqql,1,1,2.0081030130386353,electron,muon
3335,4070,0.4,3,label_Tbl,label_Hqql,1,1,2.029950737953186,electron,muon
3335,4070,0.6,5,label_Tbl,label_Hqql,1,1,1.2340054512023926,electron,muon
3335,4070,0.8,6,label_Tbl,label_Tbl,0,0,0.6564489603042603,electron,muon
3335,4070,1.0,8,label_Tbl,label_Tbl,0,0,0.6745897531509399,electron,muon
3347,3333,0.0,0,label_Tbl,label_Tbl,0,0,0.0,muon,photon
3347,3333,0.2,2,label_Tbl,label_Hqql,1,1,1.193113088607788,muon,photon
3347,3333,0.4,3,label_Tbl,label_Tbl,0,0,0.7377461194992065,muon,photon
3347,3333,0.6,5,label_Tbl,label_Hqql,1,1,1.5856672525405884,muon,photon
3347,3333,0.8,6,label_Tbl,label_Hqql,1,1,2.4412450790405273,muon,photon
3347,3333,1.0,8,label_Tbl,label_Hqql,1,1,2.210027813911438,muon,photon
3361,3827,0.0,0,label_Tbl,label_Tbl,0,0,0.0,electron,neutral_hadron
