src,dst,relation_type,support,strength_sum,max_strength,lift_like,confidence,risk,next_control,evidence,mean_strength,relation_signal
pattern:core_high_pt,hypothesis:AH1,pattern_supports_hypothesis,161,18.811645885575658,4.017873311446885,1.863354037267081,MEDIUM,may be leading-particle shortcut,remove particle0 / keep only particle0 / top-k controls,pattern:core_high_pt dominates top particle stream,0.11684252102842023,0.9337754683098479
pattern:particle0,hypothesis:AH1,pattern_supports_hypothesis,120,21.093116899600854,4.335910543318717,1.25,MEDIUM,may be leading-particle shortcut,remove particle0 / keep only particle0 / top-k controls,pattern:particle0 dominates top particle stream,0.17577597416334045,0.8789335434363931
pattern:particle0,class:label_Hqql,particle_pattern_associated_with_class,62,4.335910543318717,4.335910543318717,1.0402684563758389,MEDIUM,co-occurrence only; can reflect sorting or class imbalance,particle0/top-k/random controls,pattern:particle0->label_Hqql support=62,0.06993404102126963,0.8084644905620638
pattern:core_high_pt,class:label_Hqql,particle_pattern_associated_with_class,87,3.9095377483587157,3.9095377483587157,1.0879986660552754,MEDIUM,co-occurrence only; can reflect sorting or class imbalance,particle0/top-k/random controls,pattern:core_high_pt->label_Hqql support=87,0.044937215498376044,0.8002090686115385
pattern:charged,class:label_Hqql,particle_pattern_associated_with_class,87,3.8929649879192483,3.8929649879192483,1.0243730130695867,MEDIUM,co-occurrence only; can reflect sorting or class imbalance,route-neighbor trace and heldout stability,pattern:charged->label_Hqql support=87,0.04474672399907182,0.7923549548734178
pattern:particle0,class:label_Tbl,particle_pattern_associated_with_class,49,4.24222909187784,4.24222909187784,0.9879032258064516,MEDIUM,co-occurrence only; can reflect sorting or class imbalance,particle0/top-k/random controls,pattern:particle0->label_Tbl support=49,0.08657610391587428,0.7772696617851945
pattern:charged,class:label_Tbl,particle_pattern_associated_with_class,69,3.812445661296015,3.812445661296015,0.9762308998302208,MEDIUM,co-occurrence only; can reflect sorting or class imbalance,route-neighbor trace and heldout stability,pattern:charged->label_Tbl support=69,0.05525283567095674,0.7629391918450613
pattern:core_high_pt,class:label_Tbl,particle_pattern_associated_with_class,59,4.017873311446885,4.017873311446885,0.8865958725706272,MEDIUM,co-occurrence only; can reflect sorting or class imbalance,particle0/top-k/random controls,pattern:core_high_pt->label_Tbl support=59,0.06809954765164211,0.7607737488036478
pattern:wide,hypothesis:T6_WIDE_SECONDARY_CONTEXT,pattern_supports_hypothesis,42,11.003382098674773,2.837154507637024,1.3824884792626728,HIGH,needs KNN neighbor and causal route controls,route-neighbor trace,wide particles support label_Hqql,0.2619852880636851,0.6788334175765307
pattern:wide,class:label_Tbl,particle_pattern_associated_with_class,24,2.7560299833615622,2.7560299833615622,1.3824884792626728,HIGH,co-occurrence only; can reflect sorting or class imbalance,route-neighbor trace and heldout stability,pattern:wide->label_Tbl support=24,0.11483458264006509,0.630403598236061
pattern:other_particle,class:label_Hqql,particle_pattern_associated_with_class,38,2.7167459663591886,2.7167459663591886,1.0201342281879195,MEDIUM,co-occurrence only; can reflect sorting or class imbalance,route-neighbor trace and heldout stability,pattern:other_particle->label_Hqql support=38,0.07149331490418917,0.6243565494399848
pattern:other_particle,class:label_Tbl,particle_pattern_associated_with_class,33,2.7809996532671377,2.7809996532671377,1.064516129032258,MEDIUM,co-occurrence only; can reflect sorting or class imbalance,route-neighbor trace and heldout stability,pattern:other_particle->label_Tbl support=33,0.08427271676567084,0.624172557575749
pattern:core_high_pt,class:label_QCD,particle_pattern_associated_with_class,4,3.461374819278717,3.461374819278717,1.863354037267081,LOW,co-occurrence only; can reflect sorting or class imbalance,particle0/top-k/random controls,pattern:core_high_pt->label_QCD support=4,0.8653437048196793,0.6199151633654192
pattern:core_high_pt,class:label_Wqq,particle_pattern_associated_with_class,8,3.756262719631195,3.756262719631195,0.9937888198757764,MEDIUM,co-occurrence only; can reflect sorting or class imbalance,particle0/top-k/random controls,pattern:core_high_pt->label_Wqq support=8,0.4695328399538994,0.6040749254666999
pattern:particle0,class:label_Wqq,particle_pattern_associated_with_class,5,4.179253387451172,4.179253387451172,0.8333333333333331,MEDIUM,co-occurrence only; can reflect sorting or class imbalance,particle0/top-k/random controls,pattern:particle0->label_Wqq support=5,0.8358506774902343,0.5953490066883869
pattern:particle0,class:label_QCD,particle_pattern_associated_with_class,2,4.17394495010376,4.17394495010376,1.25,LOW,co-occurrence only; can reflect sorting or class imbalance,particle0/top-k/random controls,pattern:particle0->label_QCD support=2,2.08697247505188,0.5839712448654957
pattern:charged,class:label_Wqq,particle_pattern_associated_with_class,8,3.1603131890296936,3.1603131890296936,0.9356725146198832,MEDIUM,co-occurrence only; can reflect sorting or class imbalance,route-neighbor trace and heldout stability,pattern:charged->label_Wqq support=8,0.3950391486287117,0.5446278371869755
pattern:charged,class:label_Zqq,particle_pattern_associated_with_class,5,3.257387638092041,3.257387638092041,1.0964912280701755,MEDIUM,co-occurrence only; can reflect sorting or class imbalance,route-neighbor trace and heldout stability,pattern:charged->label_Zqq support=5,0.6514775276184082,0.5386968787197494
pattern:wide,class:label_Hqql,particle_pattern_associated_with_class,15,2.772348992029826,2.772348992029826,0.7190795781399808,MEDIUM,co-occurrence only; can reflect sorting or class imbalance,route-neighbor trace and heldout stability,pattern:wide->label_Hqql support=15,0.1848232661353217,0.5316860436098455
pattern:particle0,class:label_Zqq,particle_pattern_associated_with_class,2,4.161778926849365,4.161778926849365,0.625,LOW,co-occurrence only; can reflect sorting or class imbalance,particle0/top-k/random controls,pattern:particle0->label_Zqq support=2,2.0808894634246826,0.5203763027726003
pattern:core_high_pt,class:label_Zqq,particle_pattern_associated_with_class,3,3.666597286860148,3.666597286860148,0.6987577639751553,LOW,co-occurrence only; can reflect sorting or class imbalance,particle0/top-k/random controls,pattern:core_high_pt->label_Zqq support=3,1.2221990956200492,0.5050028704715105
pattern:other_particle,class:label_Zqq,particle_pattern_associated_with_class,3,2.7308764457702637,2.7308764457702637,1.5,LOW,co-occurrence only; can reflect sorting or class imbalance,route-neighbor trace and heldout stability,pattern:other_particle->label_Zqq support=3,0.9102921485900879,0.5009122183759054
pattern:wide,class:label_Wqq,particle_pattern_associated_with_class,2,2.837154507637024,2.837154507637024,0.9523809523809523,LOW,co-occurrence only; can reflect sorting or class imbalance,route-neighbor trace and heldout stability,pattern:wide->label_Wqq support=2,1.418577253818512,0.43389820028158477
pattern:charged,class:label_QCD,particle_pattern_associated_with_class,2,2.7488046884536743,2.7488046884536743,0.8771929824561404,LOW,co-occurrence only; can reflect sorting or class imbalance,route-neighbor trace and heldout stability,pattern:charged->label_QCD support=2,1.3744023442268372,0.41842791956260206
pattern:wide,class:label_Zqq,particle_pattern_associated_with_class,1,2.6378486156463623,2.6378486156463623,0.8928571428571428,LOW,co-occurrence only; can reflect sorting or class imbalance,route-neighbor trace and heldout stability,pattern:wide->label_Zqq support=1,2.6378486156463623,0.37925875882217763
