patch,layer,group,class_id,class_label,n,base_acc,patch_acc,acc_drop,pred_logit_drop,feature_id
feature_channel_zero,input,part_dphi,4,label_H4q,128,0.8125,0.546875,0.265625,4.615020751953125,12
feature_channel_zero,input,part_deta,4,label_H4q,128,0.8125,0.59375,0.21875,4.477210521697998,11
feature_channel_zero,input,part_pt_log,4,label_H4q,128,0.8125,0.0625,0.75,4.136388778686523,0
feature_channel_zero,input,part_deltaR,4,label_H4q,128,0.8125,0.6015625,0.2109375,3.970247268676758,4
feature_channel_zero,input,part_logerel,4,label_H4q,128,0.8125,0.796875,0.015625,3.464367389678955,3
feature_channel_zero,input,part_logptrel,4,label_H4q,128,0.8125,0.6796875,0.1328125,3.207404375076294,2
feature_channel_zero,input,part_isPhoton,4,label_H4q,128,0.8125,0.5546875,0.2578125,1.6140397787094116,8
feature_channel_zero,input,part_charge,4,label_H4q,128,0.8125,0.390625,0.421875,1.610537052154541,5
feature_channel_zero,input,part_isChargedHadron,4,label_H4q,128,0.8125,0.6328125,0.1796875,1.5022895336151123,6
feature_channel_zero,input,part_isNeutralHadron,4,label_H4q,128,0.8125,0.78125,0.03125,0.913007915019989,7
feature_channel_zero,input,part_e_log,4,label_H4q,128,0.8125,0.7734375,0.0390625,0.2100767344236374,1
feature_channel_zero,input,part_isElectron,4,label_H4q,128,0.8125,0.8203125,-0.0078125,-0.007622416131198406,9
feature_channel_zero,input,part_isMuon,4,label_H4q,128,0.8125,0.8203125,-0.0078125,-0.00667118513956666,10
feature_channel_zero,input,part_deta,1,label_Hbb,128,0.6796875,0.546875,0.1328125,6.20045280456543,11
feature_channel_zero,input,part_logerel,1,label_Hbb,128,0.6796875,0.5078125,0.171875,5.903494834899902,3
feature_channel_zero,input,part_logptrel,1,label_Hbb,128,0.6796875,0.109375,0.5703125,5.488952159881592,2
feature_channel_zero,input,part_deltaR,1,label_Hbb,128,0.6796875,0.4609375,0.21875,4.286923885345459,4
feature_channel_zero,input,part_dphi,1,label_Hbb,128,0.6796875,0.5390625,0.140625,4.0546488761901855,12
feature_channel_zero,input,part_pt_log,1,label_Hbb,128,0.6796875,0.1484375,0.53125,3.070148468017578,0
feature_channel_zero,input,part_isPhoton,1,label_Hbb,128,0.6796875,0.3828125,0.296875,1.5968176126480103,8
feature_channel_zero,input,part_isChargedHadron,1,label_Hbb,128,0.6796875,0.65625,0.0234375,1.2488701343536377,6
