signal_id,source,class_pair,status,score,reason,recommended_next_action,claim_level
confusion::label_Zqq->label_Wqq,CONFUSION_MONITOR_V1,label_Zqq->label_Wqq,ALERT,3.4524610954525503,"confusion_rate=0.2236, delta=0.2236, count=229",run feature ranker for this class pair,0
confusion::label_Wqq->label_Zqq,CONFUSION_MONITOR_V1,label_Wqq->label_Zqq,ALERT,2.199796851095936,"confusion_rate=0.1465, delta=0.1465, count=150",run feature ranker for this class pair,0
confusion::label_Hbb->label_Hcc,CONFUSION_MONITOR_V1,label_Hbb->label_Hcc,ALERT,1.8419998471853432,"confusion_rate=0.1240, delta=0.1240, count=127",run feature ranker for this class pair,0
confusion::label_Hcc->label_Hbb,CONFUSION_MONITOR_V1,label_Hcc->label_Hbb,ALERT,1.7184682787022103,"confusion_rate=0.1162, delta=0.1162, count=119",run feature ranker for this class pair,0
confusion::label_Hgg->label_H4q,CONFUSION_MONITOR_V1,label_Hgg->label_H4q,ALERT,1.5801253145940983,"confusion_rate=0.1074, delta=0.1074, count=110",run feature ranker for this class pair,0
confusion::label_H4q->label_Hgg,CONFUSION_MONITOR_V1,label_H4q->label_Hgg,ALERT,1.3967985794074118,"confusion_rate=0.0957, delta=0.0957, count=98",run feature ranker for this class pair,0
confusion::label_Hbb->label_Hgg,CONFUSION_MONITOR_V1,label_Hbb->label_Hgg,ALERT,1.2451171880238556,"confusion_rate=0.0859, delta=0.0859, count=88",run feature ranker for this class pair,0
confusion::label_Hcc->label_Hgg,CONFUSION_MONITOR_V1,label_Hcc->label_Hgg,ALERT,1.1696853459999952,"confusion_rate=0.0811, delta=0.0811, count=83",run feature ranker for this class pair,0
confusion::label_Hcc->label_H4q,CONFUSION_MONITOR_V1,label_Hcc->label_H4q,ALERT,1.1095508829484733,"confusion_rate=0.0771, delta=0.0771, count=79",run feature ranker for this class pair,0
confusion::label_QCD->label_Hgg,CONFUSION_MONITOR_V1,label_QCD->label_Hgg,ALERT,0.9452336350709118,"confusion_rate=0.0664, delta=0.0664, count=68",run feature ranker for this class pair,0
confusion::label_Hgg->label_Hcc,CONFUSION_MONITOR_V1,label_Hgg->label_Hcc,ALERT,0.9155368289841833,"confusion_rate=0.0645, delta=0.0645, count=66",run feature ranker for this class pair,0
confusion::label_Wqq->label_QCD,CONFUSION_MONITOR_V1,label_Wqq->label_QCD,ALERT,0.8563226103869873,"confusion_rate=0.0605, delta=0.0605, count=62",run feature ranker for this class pair,0
confusion::label_Hgg->label_Hbb,CONFUSION_MONITOR_V1,label_Hgg->label_Hbb,ALERT,0.826809015478905,"confusion_rate=0.0586, delta=0.0586, count=60",run feature ranker for this class pair,0
confusion::label_QCD->label_Wqq,CONFUSION_MONITOR_V1,label_QCD->label_Wqq,ALERT,0.7094288862350687,"confusion_rate=0.0508, delta=0.0508, count=52",run feature ranker for this class pair,0
confusion::label_QCD->label_Zqq,CONFUSION_MONITOR_V1,label_QCD->label_Zqq,ALERT,0.6802649234728675,"confusion_rate=0.0488, delta=0.0488, count=50",run feature ranker for this class pair,0
confusion::label_Zqq->label_QCD,CONFUSION_MONITOR_V1,label_Zqq->label_QCD,ALERT,0.6802649234728675,"confusion_rate=0.0488, delta=0.0488, count=50",run feature ranker for this class pair,0
confusion::label_Hcc->label_Zqq,CONFUSION_MONITOR_V1,label_Hcc->label_Zqq,ALERT,0.6657120383456827,"confusion_rate=0.0479, delta=0.0479, count=49",run feature ranker for this class pair,0
confusion::label_Hbb->label_Zqq,CONFUSION_MONITOR_V1,label_Hbb->label_Zqq,ALERT,0.6077039676191497,"confusion_rate=0.0439, delta=0.0439, count=45",run feature ranker for this class pair,0
confusion::label_Tbl->label_Hqql,CONFUSION_MONITOR_V1,label_Tbl->label_Hqql,ALERT,0.578828275643052,"confusion_rate=0.0420, delta=0.0420, count=43",run feature ranker for this class pair,0
confusion::label_QCD->label_Hcc,CONFUSION_MONITOR_V1,label_QCD->label_Hcc,ALERT,0.4785088328663985,"confusion_rate=0.0352, delta=0.0352, count=36",run feature ranker for this class pair,0
confusion::label_QCD->label_Tbqq,CONFUSION_MONITOR_V1,label_QCD->label_Tbqq,ALERT,0.4785088328663985,"confusion_rate=0.0352, delta=0.0352, count=36",run feature ranker for this class pair,0
confusion::label_H4q->label_Hcc,CONFUSION_MONITOR_V1,label_H4q->label_Hcc,ALERT,0.4785088328663985,"confusion_rate=0.0352, delta=0.0352, count=36",run feature ranker for this class pair,0
confusion::label_Hqql->label_Tbl,CONFUSION_MONITOR_V1,label_Hqql->label_Tbl,ALERT,0.46428043246676154,"confusion_rate=0.0342, delta=0.0342, count=35",run feature ranker for this class pair,0
confusion::label_Hcc->label_Tbqq,CONFUSION_MONITOR_V1,label_Hcc->label_Tbqq,ALERT,0.43590810284407555,"confusion_rate=0.0322, delta=0.0322, count=33",run feature ranker for this class pair,0
confusion::label_Hgg->label_QCD,CONFUSION_MONITOR_V1,label_Hgg->label_QCD,ALERT,0.4217658612958275,"confusion_rate=0.0312, delta=0.0312, count=32",run feature ranker for this class pair,0
confusion::label_Zqq->label_Hcc,CONFUSION_MONITOR_V1,label_Zqq->label_Hcc,ALERT,0.4076541142449136,"confusion_rate=0.0303, delta=0.0303, count=31",run feature ranker for this class pair,0
