patch,layer,group,delta_pred_logit,kl,logit_rel,top1_match,base_acc,patch_acc
edge_conv_zero,1,edge_conv,247.28616333007812,91.94873046875,29.677730560302734,0.10078125447034836,0.768750011920929,0.10000000149011612
edge_conv_zero,0,edge_conv,237.32492065429688,19.29660987854004,27.842437744140625,0.09921874850988388,0.768750011920929,0.10000000149011612
features_zero,input,features_zero,107.76237487792969,47.70656967163086,12.511490821838379,0.10000000149011612,0.768750011920929,0.09843750298023224
feature_group_zero,input,coords_last2,34.99603271484375,7.288330078125,5.430651664733887,0.14296875894069672,0.768750011920929,0.14140625298023224
edge_conv_zero,2,edge_conv,21.810213088989258,4.642847537994385,1.882261872291565,0.09609375149011612,0.768750011920929,0.10000000149011612
feature_group_zero,input,kin_logs_0_4,13.733259201049805,4.4670023918151855,1.139090657234192,0.17265625298023224,0.768750011920929,0.15156249701976776
mask_all_true,input,mask_all_true,8.156205177307129,2.3262767791748047,0.9879783987998962,0.25312501192092896,0.768750011920929,0.23984375596046448
feature_group_zero,input,pid_charge_5_10,6.511849403381348,3.5460610389709473,0.6332711577415466,0.10781250149011612,0.768750011920929,0.10781250149011612
points_zero,input,points_zero,1.2792174816131592,0.31423312425613403,0.2904346287250519,0.7640625238418579,0.768750011920929,0.671875
fc_zero,0,fc,0.9013338088989258,1.7715427875518799,0.9997525215148926,0.10781250149011612,0.768750011920929,0.10000000149011612
fc_zero,1,fc,0.8771846890449524,1.6503928899765015,1.0,0.09609375149011612,0.768750011920929,0.10000000149011612
